  QueueTimes | ServiceTimes | SojournTimes

    3016.906 |      409.357 |     3426.263
     760.842 |      542.610 |     1303.452
     555.046 |      459.616 |     1014.662
       0.313 |     1583.485 |     1583.798
     375.947 |     1132.411 |     1508.357
      72.188 |     1705.969 |     1778.157
    1729.649 |     1006.054 |     2735.704
    2337.970 |     1432.628 |     3770.599
    2358.408 |      529.426 |     2887.834
    2433.293 |     1002.652 |     3435.945
       0.282 |     1234.374 |     1234.656
       0.296 |      957.116 |      957.411
     882.045 |     1161.008 |     2043.053
       0.318 |     1894.181 |     1894.499
    1321.183 |      524.965 |     1846.149
    1196.646 |      572.798 |     1769.443
    1448.083 |     1062.792 |     2510.874
    2328.884 |     1811.843 |     4140.727
    1861.450 |      905.806 |     2767.256
    2704.911 |     1250.215 |     3955.125
    3253.074 |     2025.562 |     5278.635
    4894.496 |      220.799 |     5115.294
    4434.281 |      676.191 |     5110.472
    5015.443 |      515.870 |     5531.313
    5454.839 |     1127.901 |     6582.739
    6098.134 |      978.382 |     7076.516
    4625.357 |     1694.833 |     6320.190
    5695.875 |     1001.254 |     6697.130
    6645.864 |     1423.589 |     8069.453
    6599.024 |     2043.472 |     8642.497
    8508.656 |     1071.867 |     9580.522
    8414.427 |      823.283 |     9237.710
    8244.803 |     1334.445 |     9579.247
    8286.891 |      649.624 |     8936.515
    6742.246 |     1049.202 |     7791.449
    7425.826 |      709.225 |     8135.051
    7415.179 |     2487.879 |     9903.058
    8032.560 |     1534.228 |     9566.788
    7724.814 |     1575.470 |     9300.284
    8763.552 |      414.674 |     9178.226
    8547.367 |     1411.103 |     9958.470
    9762.169 |     1080.498 |    10842.668
    9994.986 |     1930.803 |    11925.789
   11892.258 |      343.528 |    12235.786
   11545.784 |      409.978 |    11955.762
   10576.411 |     1709.261 |    12285.672
   10071.817 |      382.665 |    10454.482
    8609.218 |     1274.182 |     9883.401
    9644.303 |     1062.236 |    10706.539
   10566.846 |      651.552 |    11218.398
   10897.509 |      712.014 |    11609.522
   11074.713 |     1122.063 |    12196.776
   10959.658 |     1295.583 |    12255.241
   11981.039 |     1003.326 |    12984.365
   12602.439 |     1745.340 |    14347.779
   13292.159 |      414.896 |    13707.055
   12563.502 |      648.152 |    13211.654
   12721.193 |     1527.499 |    14248.692
   14089.197 |     1426.289 |    15515.485
   13647.625 |     2447.510 |    16095.135
   12985.027 |     1977.873 |    14962.900
   14802.653 |      373.992 |    15176.645
   14651.202 |      701.604 |    15352.806
   14520.782 |     1824.660 |    16345.442
   15675.145 |     1664.495 |    17339.640
