xapian_ipc,xapian_cpu,xapian_llc,xapian_sla
0.49,70000,6,0.17500000000000002
0.43,70000,6,0.18300000000000002
0.44,70000,6,0.18720000000000003
0.48,70000,7,0.19288000000000002
0.45,70000,7,0.19215200000000002
0.46,70000,7,0.19286080000000003
0.47,70000,8,0.19414432000000004
0.46,70000,8,0.19365772800000003
0.45,70000,8,0.19246309120000002
0.44,70000,9,0.19098523648000001
0.45,70000,9,0.19139409459200002
0.44,70000,9,0.19055763783680002
0.47,77000,9,0.19322305513472002
0.47,77000,9,0.19428922205388802
0.46,77000,9,0.19371568882155524
0.46,84700,9,0.1934862755286221
0.45,84700,9,0.19239451021144885
0.46,84700,9,0.19295780408457955
0.46,93170,9,0.19318312163383183
0.46,93170,9,0.19327324865353276
0.46,93170,9,0.19330929946141312
0.47,100000,9,0.19432371978456525
0.47,100000,9,0.1947294879138261
0.48,100000,9,0.19589179516553046
0.45,100000,9,0.1933567180662122
0.45,100000,9,0.1923426872264849
0.46,100000,9,0.19293707489059397
0.48,100000,9,0.19517482995623758
0.46,100000,9,0.19406993198249506
0.46,100000,9,0.19362797279299804
0.47,100000,9,0.19445118911719922
0.46,100000,9,0.1937804756468797
0.45,100000,9,0.1925121902587519
0.49,100000,9,0.19600487610350076
0.46,100000,9,0.19440195044140032
0.46,100000,9,0.19376078017656015
0.46,100000,9,0.19350431207062407
0.47,100000,9,0.19440172482824963
0.44,100000,9,0.19176068993129988
0.47,100000,9,0.19370427597251996
0.49,100000,9,0.196481710389008
0.44,100000,9,0.1925926841556032
0.48,100000,9,0.1950370736622413
0.46,100000,9,0.19401482946489654
0.47,100000,9,0.19460593178595864
0.46,100000,9,0.19384237271438348
0.45,100000,9,0.19253694908575342
0.47,100000,9,0.19401477963430136
0.43,100000,9,0.19060591185372056
0.43,100000,9,0.18924236474148823
0.48,100000,9,0.1936969458965953
0.46,100000,9,0.19347877835863814
0.46,100000,9,0.19339151134345528
0.44,100000,9,0.19135660453738212
0.47,100000,9,0.19354264181495284
0.45,100000,9,0.19241705672598117
0.47,100000,9,0.19396682269039248
0.46,100000,9,0.193586729076157
0.48,100000,9,0.19543469163046281
0.47,100000,9,0.19517387665218514
0.46,100000,9,0.19406955066087409
0.46,100000,9,0.19362782026434966
0.46,100000,9,0.1934511281057399
0.45,100000,9,0.19238045124229597
0.46,100000,9,0.1929521804969184
0.45,100000,9,0.19218087219876737
0.47,100000,9,0.19387234887950694
0.48,100000,9,0.1955489395518028
0.46,100000,9,0.19421957582072114
0.46,100000,9,0.19368783032828849
0.46,100000,9,0.19347513213131542
0.45,100000,9,0.1923900528525262
0.45,100000,9,0.19195602114101049
0.44,100000,9,0.1907824084564042
0.48,100000,9,0.1943129633825617
0.47,100000,9,0.1947251853530247
0.51,100000,9,0.1988900741412099
0.45,100000,9,0.19455602965648397
0.46,100000,9,0.1938224118625936
0.46,100000,9,0.19352896474503747
0.45,100000,9,0.19241158589801502
0.47,100000,9,0.19396463435920602
0.46,100000,9,0.19358585374368242
0.48,100000,9,0.19543434149747296
0.47,100000,9,0.19517373659898918
0.46,100000,9,0.1940694946395957
0.47,100000,9,0.19462779785583828
0.44,100000,9,0.19185111914233532
0.45,100000,9,0.19174044765693415
0.46,100000,9,0.19269617906277367
0.48,100000,9,0.1950784716251095
0.45,100000,9,0.19303138865004382
0.43,100000,9,0.19021255546001756
0.48,100000,9,0.19408502218400703
0.47,100000,9,0.19463400887360283
0.49,100000,9,0.19685360354944115
0.48,100000,9,0.19674144141977645
0.44,100000,9,0.1926965765679106
0.44,100000,9,0.19107863062716426
0.49,100000,9,0.19543145225086572
0.48,100000,9,0.19617258090034628
0.44,100000,9,0.19246903236013854
0.47,100000,9,0.19398761294405542
0.47,100000,9,0.19459504517762216
0.44,100000,9,0.1918380180710489
0.48,100000,9,0.19473520722841958
0.47,100000,9,0.19489408289136784
0.46,100000,9,0.19395763315654715
0.49,100000,9,0.19658305326261888
0.48,100000,9,0.19663322130504757
0.48,100000,9,0.19665328852201902
0.48,100000,9,0.1966613154088076
0.47,100000,9,0.19566452616352303
0.45,100000,9,0.19326581046540922
0.46,100000,9,0.1933063241861637
0.45,100000,9,0.1923225296744655
0.42,100000,9,0.18892901186978622
0.43,100000,9,0.1885716047479145
0.47,100000,9,0.1924286418991658
0.45,100000,9,0.19197145675966634
0.46,100000,9,0.19278858270386656
0.48,100000,9,0.19511543308154664
0.46,100000,9,0.19404617323261866
0.45,100000,9,0.1926184692930475
0.49,100000,9,0.19604738771721902
0.46,100000,9,0.19441895508688764
0.48,100000,9,0.19576758203475508
0.47,100000,9,0.19530703281390205
0.45,100000,9,0.19312281312556084
0.43,100000,9,0.19024912525022436
0.47,100000,9,0.19309965010008975
0.47,100000,9,0.1942398600400359
0.46,100000,9,0.1936959440160144
0.47,100000,9,0.19447837760640577
0.48,100000,9,0.19579135104256232
0.49,100000,9,0.19731654041702495
0.49,100000,9,0.19792661616681
0.44,100000,9,0.19317064646672402
0.49,100000,9,0.19626825858668961
0.43,100000,9,0.19150730343467587
0.47,100000,9,0.19360292137387036
0.45,100000,9,0.19244116854954815
0.47,100000,9,0.19397646741981928
0.47,100000,9,0.19459058696792772
0.45,100000,9,0.1928362347871711
0.46,100000,9,0.19313449391486845
0.49,100000,9,0.1962537975659474
0.48,100000,9,0.19650151902637897
0.49,100000,9,0.1976006076105516
0.47,100000,9,0.19604024304422063
0.46,100000,9,0.19441609721768827
0.47,100000,9,0.19476643888707532
0.46,100000,9,0.19390657555483015
0.44,100000,9,0.19156263022193207
0.45,100000,9,0.19162505208877284
0.45,100000,9,0.19165002083550917
0.45,100000,9,0.19166000833420369
0.47,100000,9,0.1936640033336815
0.49,100000,9,0.19646560133347263
0.48,100000,9,0.19658624053338908
0.47,100000,9,0.19563449621335566
0.48,100000,9,0.19625379848534227
0.46,100000,9,0.19450151939413693
0.46,100000,9,0.19380060775765479
0.46,100000,9,0.19352024310306193
0.45,100000,9,0.1924080972412248
0.48,100000,9,0.19496323889648992
0.46,100000,9,0.19398529555859598
0.49,100000,9,0.19659411822343842
0.44,100000,9,0.19263764728937538
0.44,100000,9,0.19105505891575017
0.47,100000,9,0.19342202356630006
0.46,100000,9,0.19336880942652004
0.44,100000,9,0.19134752377060804
0.47,100000,9,0.1935390095082432
0.47,100000,9,0.1944156038032973
0.47,100000,9,0.19476624152131894
0.47,100000,9,0.1949064966085276
0.47,100000,9,0.19496259864341103
0.45,100000,9,0.19298503945736442
0.45,100000,9,0.1921940157829458
0.45,100000,9,0.19187760631317832
0.47,100000,9,0.19375104252527134
0.47,100000,9,0.19450041701010856
0.48,100000,9,0.19580016680404344
0.44,100000,9,0.1923200667216174
