xapian_ipc,xapian_cpu,xapian_llc,xapian_sla,mcf_ipc,mcf_cpu,mcf_llc,mcf_sla
0.22,70000,6,0.21100000000000002,0.28,70000,3,0.028000000000000004
0.22,70000,6,0.21140000000000003,0.28,70000,3,0.039200000000000006
0.23,70000,6,0.21256000000000003,0.25,70000,3,0.04068000000000001
0.22,70000,7,0.21202400000000002,0.21,70000,3,0.037272000000000007
0.21,70000,7,0.2108096,0.16,70000,3,0.030908800000000004
0.23,70000,7,0.21232384,0.13,70000,3,0.025363520000000004
0.22,70000,7,0.21192953600000003,0.14,70000,3,0.024145408000000004
0.23,70000,8,0.21277181440000004,0.13,70000,3,0.022658163200000005
0.23,70000,8,0.21310872576,0.13,70000,3,0.02206326528
0.23,70000,8,0.21324349030400003,0.13,70000,3,0.021825306112000002
0.22,70000,8,0.21229739612160003,0.20,70000,4,0.028730122444800006
0.23,70000,8,0.21291895844864,0.20,70000,4,0.031492048977920004
0.22,70000,8,0.21216758337945602,0.20,70000,4,0.032596819591168
0.22,70000,8,0.21186703335178242,0.22,70000,5,0.03503872783646721
0.23,70000,8,0.212746813340713,0.24,70000,5,0.03801549113458688
0.22,70000,8,0.2120987253362852,0.56,70000,5,0.07120619645383476
0.21,70000,8,0.21083949013451408,0.52,77000,5,0.08048247858153391
0.22,70000,8,0.21133579605380565,0.23,77000,5,0.05519299143261357
0.22,70000,8,0.21153431842152226,0.22,77000,5,0.04407719657304543
0.21,70000,8,0.2106137273686089,0.22,77000,5,0.03963087862921817
0.22,70000,9,0.21124549094744355,0.20,77000,5,0.035852351451687275
0.19,70000,9,0.20849819637897743,0.21,84700,5,0.03534094058067491
0.20,70000,9,0.20839927855159096,0.21,84700,4,0.035136376232269964
0.20,70000,9,0.2083597114206364,0.21,84700,3,0.03505455049290799
0.20,70000,9,0.20834388456825456,0.22,84700,2,0.0360218201971632
0.22,70000,9,0.21033755382730185,0.39,76230,2,0.053408728078865285
0.23,70000,9,0.21213502153092073,0.21,76230,2,0.04236349123154612
0.20,70000,9,0.2098540086123683,0.20,76230,2,0.03694539649261845
0.23,70000,9,0.21194160344494734,0.19,68607,2,0.033778158597047386
0.22,70000,9,0.21177664137797894,0.21,68607,3,0.034511263438818954
0.21,70000,9,0.2107106565511916,0.22,68607,3,0.03580450537552758
0.22,70000,9,0.21128426262047664,0.45,68607,2,0.05932180215021104
0.22,70000,9,0.21151370504819067,0.35,68607,2,0.05872872086008441
0.22,70000,9,0.21160548201927626,0.19,68607,3,0.04249148834403377
0.23,70000,9,0.21264219280771052,0.17,68607,3,0.03399659533761351
0.24,70000,9,0.2140568771230842,0.19,68607,3,0.032598638135045405
0.22,70000,9,0.21262275084923368,0.20,68607,4,0.03303945525401816
0.23,70000,9,0.2130491003396935,0.20,68607,4,0.03321578210160727
0.22,70000,9,0.2122196401358774,0.36,68607,4,0.04928631284064291
0.20,77000,9,0.20988785605435095,0.18,68607,4,0.037714525136257164
0.24,77000,9,0.2129551424217404,0.19,68607,3,0.03408581005450287
0.22,77000,9,0.2121820569686962,0.17,68607,3,0.03063432402180115
0.42,77000,9,0.2318728227874785,0.16,68607,3,0.02825372960872046
0.23,77000,9,0.2207491291149914,0.39,68607,4,0.05030149184348819
0.21,77000,9,0.21429965164599657,0.26,68607,3,0.046120596737395284
0.23,77000,9,0.21371986065839865,0.23,68607,2,0.04144823869495812
0.22,77000,9,0.21248794426335949,0.21,68607,2,0.03757929547798325
0.23,77000,9,0.21299517770534382,0.13,68607,2,0.0280317181911933
0.22,77000,9,0.21219807108213753,0.14,68607,3,0.025212687276477325
0.24,77000,9,0.213879228432855,0.14,68607,3,0.024085074910590934
0.23,77000,9,0.213551691373142,0.14,68607,3,0.023634029964236376
0.23,84700,9,0.2134206765492568,0.14,68607,3,0.023453611985694553
0.22,84700,9,0.21236827061970273,0.13,68607,3,0.022381444794277824
0.25,84700,9,0.2149473082478811,0.13,68607,3,0.02195257791771113
0.22,84700,9,0.21297892329915247,0.14,68607,4,0.022781031167084454
0.23,84700,9,0.213191569319661,0.15,68607,4,0.02411241246683378
0.22,84700,9,0.2122766277278644,0.16,68607,4,0.025644964986733514
0.21,93170,9,0.21091065109114576,0.19,68607,4,0.02925798599469341
0.24,93170,9,0.2133642604364583,0.22,68607,3,0.03370319439787737
0.23,93170,9,0.21334570417458332,0.33,68607,3,0.04648127775915095
0.23,93170,9,0.21333828166983332,0.36,68607,3,0.05459251110366038
0.23,93170,9,0.21333531266793332,0.27,68607,4,0.04883700444146416
0.23,93170,9,0.21333412506717334,0.15,68607,4,0.03453480177658566
0.23,93170,9,0.21333365002686933,0.15,68607,4,0.028813920710634267
0.23,93170,9,0.21333346001074774,0.16,68607,5,0.027525568284253708
0.24,93170,9,0.21433338400429908,0.16,68607,5,0.027010227313701486
0.22,93170,9,0.21273335360171963,0.15,68607,5,0.025804090925480597
0.21,93170,9,0.21109334144068786,0.16,75467,5,0.02632163637019224
0.23,93170,9,0.21243733657627517,0.17,75467,4,0.027528654548076896
0.20,93170,9,0.2099749346305101,0.16,75467,4,0.02701146181923076
0.20,93170,9,0.20898997385220403,0.18,75467,3,0.028804584727692303
0.21,93170,9,0.2095959895408816,0.19,75467,2,0.030521833891076926
0.22,93170,9,0.21083839581635266,0.22,75467,2,0.034208733556430775
0.21,93170,9,0.21033535832654107,0.41,75467,3,0.05468349342257231
0.22,93170,9,0.21113414333061642,0.16,75467,2,0.03787339736902892
0.12,93170,9,0.20145365733224657,0.13,75467,2,0.028149358947611572
0.23,93170,9,0.20858146293289864,0.15,67920,2,0.026259743579044627
0.22,93170,9,0.21043258517315946,0.16,67920,2,0.02650389743161785
0.22,93170,9,0.2111730340692638,0.19,67920,3,0.029601558972647143
0.24,93170,9,0.21346921362770555,0.22,67920,3,0.03384062358905886
0.23,93170,9,0.21338768545108222,0.42,67920,3,0.05553624943562355
0.22,100000,9,0.2123550741804329,0.27,67920,3,0.04921449977424942
0.21,100000,9,0.21094202967217318,0.16,67920,3,0.03568579990969977
0.23,100000,9,0.21237681186886928,0.15,67920,2,0.029274319963879906
0.23,100000,9,0.21295072474754773,0.17,67920,2,0.028709727985551964
0.21,100000,9,0.2111802898990191,0.20,67920,3,0.03148389119422079
0.24,100000,9,0.21347211595960763,0.19,67920,2,0.03159355647768832
0.23,100000,9,0.21338884638384306,0.25,67920,2,0.03763742259107533
0.23,100000,9,0.21335553855353723,0.29,67920,2,0.04405496903643013
0.23,100000,9,0.2133422154214149,0.15,67920,3,0.03262198761457205
0.23,100000,9,0.21333688616856597,0.18,67920,3,0.03104879504582882
0.22,100000,9,0.2123347544674264,0.22,67920,3,0.03441951801833153
0.43,100000,9,0.23293390178697054,0.18,67920,3,0.03176780720733261
0.23,100000,9,0.22117356071478822,0.28,67920,3,0.04070712288293305
0.24,100000,9,0.2174694242859153,0.23,67920,2,0.039282849153173226
0.23,100000,9,0.21498776971436612,0.23,67920,2,0.0387131396612693
0.23,100000,9,0.21399510788574644,0.21,67920,3,0.036485255864507724
0.22,100000,9,0.2125980431542986,0.19,67920,3,0.033594102345803095
0.23,100000,9,0.21303921726171943,0.13,67920,3,0.02643764093832124
0.23,100000,9,0.21321568690468778,0.13,67920,3,0.023575056375328498
0.22,100000,9,0.21228627476187512,0.13,67920,3,0.0224300225501314
0.23,100000,9,0.21291450990475005,0.12,67920,3,0.02097200902005256
0.21,100000,9,0.21116580396190004,0.14,67920,4,0.022388803608021028
0.22,100000,9,0.21146632158476003,0.14,67920,3,0.022955521443208414
0.23,100000,9,0.21258652863390404,0.13,67920,3,0.02218220857728337
0.23,100000,9,0.21303461145356162,0.13,67920,3,0.02187288343091335
0.25,100000,9,0.21521384458142467,0.14,67920,4,0.02274915337236534
0.23,100000,9,0.2140855378325699,0.15,67920,4,0.024099661348946137
0.23,100000,9,0.21363421513302797,0.17,67920,4,0.026639864539578458
0.22,100000,9,0.2124536860532112,0.19,67920,4,0.029655945815831385
0.23,100000,9,0.21298147442128448,0.22,67920,4,0.03386237832633256
0.21,100000,9,0.2111925897685138,0.56,67920,4,0.06954495133053304
0.21,100000,9,0.21047703590740552,0.45,67920,3,0.07281798053221322
0.24,100000,9,0.21319081436296222,0.13,67920,2,0.04212719221288529
0.24,100000,9,0.2142763257451849,0.14,67920,3,0.030850876885154116
0.22,100000,9,0.21271053029807396,0.13,67920,3,0.025340350754061648
0.22,100000,9,0.2120842121192296,0.13,67920,3,0.023136140301624662
0.21,100000,9,0.21083368484769183,0.14,67920,4,0.023254456120649865
0.22,100000,9,0.21133347393907675,0.13,67920,3,0.02230178244825995
0.24,100000,9,0.21353338957563073,0.13,67920,3,0.02192071297930398
0.22,100000,9,0.21241335583025228,0.15,67920,3,0.02376828519172159
0.22,100000,9,0.2119653423321009,0.14,67920,4,0.02350731407668864
0.23,100000,9,0.21278613693284038,0.08,67920,4,0.017402925630675456
0.21,100000,9,0.21111445477313617,0.15,67920,4,0.021961170252270183
0.22,100000,9,0.21144578190925448,0.17,67920,3,0.025784468100908075
0.19,100000,9,0.2085783127637018,0.17,67920,4,0.027313787240363232
0.24,100000,9,0.21243132510548074,0.32,67920,3,0.042925514896145295
0.24,100000,9,0.2139725300421923,0.40,67920,3,0.05717020595845813
0.24,100000,9,0.2145890120168769,0.14,67920,3,0.03686808238338325
0.22,100000,9,0.2128356048067508,0.14,67920,4,0.028747232953353304
0.22,100000,9,0.2121342419227003,0.14,67920,4,0.025498893181341326
0.23,100000,9,0.21285369676908011,0.14,67920,4,0.02419955727253653
0.21,100000,9,0.21114147870763206,0.18,67920,5,0.027679822909014613
0.23,100000,9,0.21245659148305285,0.22,67920,4,0.03307192916360585
